escenario,conteo
ADMINISTRACION_PUBLICA,4
AREAS_DEPORTIVAS_RECREATIVAS,34
CALLE_AUTOPISTA_AVENIDA_DENTRO_DE_LA_CIUDAD,1424
CARRETERA_FUERA_DE_LA_CIUDAD,154
CENTROS_DE_RECLUSION,8
CENTROS_EDUCATIVOS,71
CENTRO_DE_ATENCION_MEDICA,20
ESPACIOS_TERRESTRES_AL_AIRE_LIBRE,51
ESTABLECIMIENTOS_FINANCIEROS,2
ESTABLECIMIENTO_COMERCIAL,159
ESTABLECIMIENTO_INDUSTRIAL,11
ESTACIONES_SERVICIO,1
GUARNICIONES_MILITARES,3
LUGARES_CUIDADO_PERSONAS,20
LUGARES_CULTURALES,19
LUGARES_EXPENDIO_ALCOHOL,93
LUGARES_HOSPEDAJE,22
NO_REGISTRADO,52
OFICINAS_EDIFICIOS,21
OTROS,64
PARQUEADEROS,15
PISCINA_JACUZZI,3
RESTAURANTES_Y_ASADEROS,28
SITIO_DE_CULTO,9
TALLER,4
TERMINALES_PASAJEROS,5
TERRENO_BALDIO,3
VEHICULO_PARTICULAR,19
VEHICULO_TRANSPORTE,1
VIA_PUBLICA,966
VIVIENDA,12104
ZONAS_AGROPECUARIAS,28
